order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD035972,ID2640745800,2019-04-23,Thompson,"[('Universe Note', 2), ('Lucent 330S', 2)]",9360,67.25,-37.8038433,144.9533741,0,9427.25,Autumn,False,1.1286,"better options for what you spend on a redmi 6 note pro, you can get something comparable with stock andriod instead of miui and better us based cell reception. this device works on pretty limited 4g lte bands in north america. make sure you do your research.",True
ORD422449,ID4157118491,2019-07-07,Bakers,"[('pearTV', 1), ('Olivia x460', 1), ('Thunder line', 2)]",11895,65.72,-37.8183218,144.9964926,5,11365.97,Winter,False,0.9334,so far so good! very good cellphone so far.,True
ORD237568,ID0575524447,2019-12-24,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",7880,82.78,-37.8213116,144.9832925,15,6780.78,Summer,True,1.2456,"locked! this phone was locked when it arrived, totally not how it was advertised! so it is not usable as is! bad buy!",False
ORD022732,ID4297530210,2019-11-19,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1), ('iStream', 1), ('Toshika 750', 1)]",31440,108.4,-37.8057097,144.9772035,0,31548.4,Spring,True,1.9653,great buy great buy. bought in march 2019. it still works great,True
ORD299240,ID0227330594,2019-10-25,Bakers,"[('Thunder line', 1), ('iAssist Line', 2)]",22260,75.58,-37.8034568,144.9945629,10,20109.58,Spring,True,0.7303,perfect fit. only smart phone i've ever owned. does all i want and then some. fits perfectly in my work shirt or jacket pocket. clear reception.,True
ORD245843,ID2291073996,2019-05-26,Thompson,"[('Toshika 750', 2), ('Alcon 10', 1), ('pearTV', 2), ('Lucent 330S', 1)]",6780,64.21,-37.8122663,144.9549714,0,6844.21,Autumn,True,2.105,"the way they make note 5 is very very stupid. the phone do not take ds card the way they make note 5 is very very stupid. the phone do not take ds card. who those that, a big phone like that. i always look olivia universe but this one is stupid. the pen can go in any how they have to remember we have kids. they want to kknow think",False
ORD422384,ID0248266256,2019-02-25,Nickolson,"[('Thunder line', 2), ('Alcon 10', 2)]",11575,83.31,-37.8263393,144.9859063,10,10500.81,Summer,False,1.6767,this phone is worth every penny i swear i can't wait for the next pocophone to be released greatest phone i ever purchased,True
ORD049057,ID0241807190,2019-10-19,Bakers,"[('iAssist Line', 2), ('Thunder line', 1), ('iStream', 1)]",11095,101.94,-37.816622100000004,144.9879502,5,10642.19,Spring,True,0.9768,my grandmother enjoys this tablet ... it use as her reader.,True
ORD116855,ID3807748036,2019-02-19,Bakers,"[('Thunder line', 1), ('iAssist Line', 1), ('Candle Inferno', 2), ('pearTV', 1)]",16980,54.43,-37.806301899999994,144.9973646,5,16185.43,Summer,False,0.4007,one of the worst purchases or investments you could make for technology.,False
ORD284574,ID2180785595,2019-06-20,Nickolson,"[('iStream', 2), ('Universe Note', 1), ('Toshika 750', 2), ('pearTV', 2)]",9800,62.6,-37.81701029999999,144.96106609999995,10,8882.6,Winter,False,0.7667,olivia all the way i am an android lover. olivia all the way. value for product. love the feel and size of screen just magnificent,True
ORD025069,ID0137182987,2019-11-02,Nickolson,"[('Universe Note', 1), ('iAssist Line', 1)]",5610,86.52,-37.8020454,144.9667811,25,4294.02,Spring,False,1.8583,good service. loving my new phone fast delivery and came with adapter. good service. loving my new phone.,True
ORD131149,ID0207085152,2019-07-21,Bakers,"[('Toshika 750', 2), ('Olivia x460', 1), ('Lucent 330S', 1)]",18945,71.4,-37.81877070000001,145.0146248,15,16174.65,Winter,False,1.9653,perfect working condition i love everything about it!,True
ORD379753,ID0248746916,2019-08-31,Bakers,"[('Toshika 750', 2), ('iStream', 2), ('iAssist Line', 2), ('Universe Note', 2)]",19400,67.51,-37.825354499999996,144.99510580000003,5,18497.51,Winter,True,1.7097,wrong packaging product has nothing in english - phone and paperwork is all in spanish. 🙁🙁,False
ORD489958,ID0588197263,2019-02-23,Nickolson,"[('Alcon 10', 1), ('Universe Note', 1), ('Thunder line', 2)]",4620,74.62,-37.812127600000004,144.9738474,15,4001.62,Summer,False,0.8131,good deal i am using freedom pop global sim card and getting 4g speed. phone is unlock so it can operate on att and t-mobile.,True
