order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD069363,ID2288769506,2019-04-03,Bakers,"[('Toshika 750', 1), ('iAssist Line', 1)]",17080,51.95,-37.801178,145.0030763,10,5942.45,Autumn,False,1.1998,"does not work on verizon network buyer beware, this phone does not work on verizon network .",0.0
ORD496036,ID6167191700,2019-02-22,Thompson,"[('Thunder line', 2), ('pearTV', 1)]",17260,59.79,-37.8189215,144.9548983,10,9662.79,Summer,False,0.9787,alcon x 10 no lo recomiendo..........la pantalla táctil falla a cada rato y hay programas que no puedes cerrar y siri nada que resuelve,0.0
ORD351773,ID0767721970,2019-06-05,Nickolson,"[('Thunder line', 1), ('Alcon 10', 1)]",3040,70.0,-37.803875700000006,144.9728385,10,10087.0,Winter,False,1.6638,great phone awesome great phone,1.0
ORD020146,ID3945799025,2019-10-26,Thompson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Alcon 10', 1)]",11560,61.7,-37.819024799999994,144.95424619999997,25,12871.7,Spring,False,0.9478,overheats phone overheated.,0.0
ORD082072,ID4157116173,2019-11-19,Bakers,"[('pearTV', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",3040,101.06,-37.818056299999995,144.9944585,5,16498.06,Spring,True,0.8998,"no smartphone is perfect, but... this one gets damn close! much better than my olivia universe gold.",1.0
ORD246864,ID3146808096,2019-08-15,Bakers,"[('Thunder line', 1), ('Candle Inferno', 2)]",10760,62.95,-37.8106572,144.9852939,0,3102.95,Winter,False,0.8771,very good phone and solid.... nice phone. feels solid and responsive. just in the media lacking some integration for social network... i can recommend this for those looking for prepaid.,1.0
ORD347480,ID0664378466,2019-10-01,Nickolson,"[('Universe Note', 2), ('iStream', 2), ('Thunder line', 2)]",8675,97.3,-37.820156,144.96696819999997,0,11657.3,Spring,True,0.28600000000000003,five stars works well for a non smart phone,1.0
ORD005136,ID5001030338,2019-12-13,Thompson,"[('Candle Inferno', 2), ('Thunder line', 1)]",25820,89.17,-37.8114189,144.95284080000005,5,2977.17,Summer,True,0.5265,other then that great phone no problems internet decides not to work sometimes and i have to restart phone about three times until it decides to work. other then that great phone no problems.,1.0
ORD002600,ID0358731034,2019-09-28,Nickolson,"[('pearTV', 1), ('iAssist Line', 2)]",10260,103.75,-37.8206252,144.9822383,5,10325.75,Spring,True,1.1383,i am very happy with the candle inferno hd 8. it is very easy to use.,1.0
ORD120659,ID0598401582,2019-08-17,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2), ('Toshika 750', 1), ('iStream', 1)]",10455,64.22,-37.8144932,144.9638438,25,19429.22,Winter,False,0.6785,awesome. great. i love it.,1.0
ORD190369,ID0600744898,2019-09-16,Nickolson,"[('Universe Note', 2), ('Toshika 750', 2), ('Thunder line', 2)]",8950,85.32,-37.8113299,144.9667576,10,17995.32,Spring,True,0.8452,i never got my cell phone. nunca me llegó el celular,0.0
ORD456250,ID0250480677,2019-06-08,Bakers,"[('Olivia x460', 1), ('iAssist Line', 2), ('iStream', 2)]",11165,62.45,-37.809295,145.0017436,5,5738.7,Winter,False,0.578,still great today love this phone. the battery life is crazy good. display is crisp and the speed moving through apps is great. came from a olivia universe j7 and this phone blows it away. good camera and not to much bloatware. using it on t-moble.,1.0
ORD311321,ID0060095861,2019-08-31,Bakers,"[('iStream', 2), ('Olivia x460', 2)]",13440,76.89,-37.817692,144.9912877,15,2414.39,Winter,True,0.9242,price was great. received it quickly price was great. received it quickly. so far so good. haven't had time to figure out all the bells and whistles but enjoying my new/used phone : ),1.0
ORD388528,ID3098158411,2019-05-13,Thompson,"[('iStream', 1), ('Thunder line', 1), ('Universe Note', 2), ('Olivia x460', 1)]",21350,66.3,-37.823505600000004,144.9431456,0,10521.3,Autumn,False,1.2542,this was a gift for a family member they really enjoy all the options of getting books,1.0
ORD019287,ID0387153031,2019-02-21,Thompson,"[('Lucent 330S', 1), ('Universe Note', 1), ('Olivia x460', 2), ('iAssist Line', 2)]",8940,72.4,-37.8062153,144.9497858,15,,Summer,False,0.7575,looks beautiful great product,1.0
ORD350864,ID1964021908,2019-05-15,Nickolson,"[('iStream', 2), ('Toshika 750', 2), ('iAssist Line', 1)]",2600,64.01,-37.81876870000001,144.96694219999995,15,,Autumn,False,0.2302,"great great phone, like new",1.0
ORD006718,ID2383218753,2019-03-30,Thompson,"[('Lucent 330S', 1), ('Candle Inferno', 2), ('Universe Note', 2), ('iAssist Line', 2)]",14800,55.89,-37.8004996,144.9603771,0,13495.89,Autumn,False,1.7906,"i hate phone. came on time because verizon misrepresented themselves, i hate phone. came on time. company i bought it from was fantastic. just verizon problems.",0.0
ORD058028,ID0589431885,2019-12-23,Nickolson,"[('Universe Note', 1), ('Alcon 10', 2)]",2610,72.12,-37.81376470000001,144.9643365,15,18219.62,Summer,False,0.7067,"i love this phone!! i love this phone. the hd screen makes for wonderful viewing of videos, games, and e-book reading. the camera and storage space could be better, but overall a grate buy.",1.0
ORD419926,ID0417273053,2019-05-20,Bakers,"[('pearTV', 2), ('iAssist Line', 1)]",6740,79.85,-37.8103472,144.98364919999997,0,14924.85,Autumn,True,1.0194,great phone to have liked the first one so much i got a second. batter life is great and phone is a winner my kids love them and they charge quickly via usb c .. do yourself a favor and get these,1.0
ORD082533,ID0962965882,2019-09-23,Thompson,"[('Lucent 330S', 1), ('iStream', 2), ('Toshika 750', 2)]",11400,83.91,-37.7966811,144.95116480000004,25,7711.41,Spring,False,1.8163,"if battery and memory are what you need, this is it! i have had the note for about 3 months now. great battery life, enormous amount of memory. phone is great, hope to keep for 3 years or more.",1.0
ORD120634,ID1521014690,2019-08-09,Bakers,"[('Olivia x460', 2), ('iStream', 1)]",5060,65.29,-37.801528499999996,144.99282580000005,25,2015.29,Winter,False,0.9661,"value awesome phone,still learning how to use.",1.0
ORD217221,ID0282825798,2019-06-02,Thompson,"[('Thunder line', 1), ('pearTV', 2)]",5310,66.58,-37.8013885,144.950348,0,14866.58,Winter,False,1.2889,nice phone it's good,1.0
ORD313007,ID0373652149,2019-08-03,Thompson,"[('Lucent 330S', 2), ('iStream', 1)]",9295,69.99,-37.811603999999996,144.9268487,0,2679.99,Winter,False,1.7822,"over a year and still happy! bought same phone “used” at best buy for twice the price, it was in poor condition so i took a chance with this one instead! i couldn’t be happier and i’ve had it over a year now!",1.0
ORD123759,ID0356099263,2019-12-10,Bakers,"[('Candle Inferno', 1), ('pearTV', 1)]",7285,60.98,-37.8199777,144.99256880000004,10,6126.98,Summer,False,1.1355,one star did not meet my expectation,0.0
ORD042151,ID1883787547,2019-12-24,Thompson,"[('Alcon 10', 2), ('iStream', 2)]",23530,101.57,-37.8255234,144.9482495,0,18301.57,Summer,True,1.4342,"i am very happy about the purchase i received my a50. i am pleased with this purchase. the cellphone is brand new. moreover, a microcard and a transparent phone case are included. i really appreciate that. thank you.",1.0
ORD249549,ID0575392105,2019-03-22,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 2)]",5535,53.72,-37.8213689,144.98406630000005,10,10313.72,Autumn,False,1.3132,phone gets overheated in short time this phone gets overheated in couple of minutes. i could not talk more than 15 minutes by audio or video call as the phone gets extremely hot.,0.0
ORD155261,ID6167289314,2019-01-17,Nickolson,"[('Olivia x460', 2), ('Thunder line', 1), ('Candle Inferno', 1)]",7330,96.87,-37.80850220000001,144.9680061,25,3891.87,Summer,True,1.1317,four stars good purchase!,1.0
ORD456077,ID3215102056,2019-07-30,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 2)]",6105,61.76,-37.8119517,144.9513726,15,4575.26,Winter,False,0.3869,five stars good one. worth for money.,1.0
ORD009115,ID5402876167,2019-09-28,Nickolson,"[('iStream', 2), ('Toshika 750', 1), ('Universe Note', 1), ('Olivia x460', 1)]",21690,76.39,-37.8200973,144.97681809999997,15,7977.14,Spring,False,0.6606,and its a great phone. i done the research on it and ... i have had my phone now for 7 months. and its a great phone. i done the research on it and decided to get it and i really love my phone. my sister is getting one because its better than her olivia.,1.0
ORD470556,ID1725216511,2019-02-28,Nickolson,"[('Olivia x460', 2), ('Thunder line', 1), ('iAssist Line', 1), ('Candle Inferno', 1)]",9085,82.45,-37.8026551,144.9651658,10,6638.95,Summer,False,1.8158,works great had phone since june works great!,1.0
ORD013311,ID4735688218,2019-05-14,Thompson,"[('iAssist Line', 2), ('Candle Inferno', 2)]",19945,50.3,-37.8038797,144.9493368,15,4563.8,Autumn,False,0.9990000000000001,"not happy. not unlocked as advertised, and barely worked. constant freezes, unresponsiveness, and boot failures.",0.0
ORD376221,ID2670903131,2019-01-17,Thompson,"[('Alcon 10', 2), ('iAssist Line', 1), ('Olivia x460', 1), ('Thunder line', 1)]",13120,81.56,-37.8034526,144.96288169999997,5,22435.06,Summer,False,1.7285,five stars these went to friends in mexico and they love them.,1.0
ORD073007,ID2189272905,2019-05-09,Nickolson,"[('Universe Note', 1), ('Candle Inferno', 2), ('Olivia x460', 1)]",19130,65.23,-37.8193792,144.96120180000003,0,5600.23,Autumn,False,0.7394,she was so surprised and happy when it was delivered i purchased this as a surprise for my wife as an upgrade to her existing s4. she was so surprised and happy when it was delivered. she has hardly when wife is happy ... we're all happy!,1.0
ORD003205,ID5556316822,2019-01-18,Thompson,"[('pearTV', 2), ('Thunder line', 2), ('Universe Note', 2)]",12120,76.34,-37.8079663,144.9339219,15,20374.34,Summer,False,1.2694,... digico and it was brand new and it works great now. okay but i had to order a new battery which i did through digico and it was brand new and it works great now.,1.0
ORD032957,ID0302135234,2019-09-05,Bakers,"[('Candle Inferno', 1), ('Universe Note', 2)]",27440,79.18,-37.804073700000004,144.9827659,25,5576.68,Spring,False,1.2793,good phone battery lasts around a day and charges in 2hours great quality great screen,1.0
ORD156143,ID0575387785,2019-05-08,Nickolson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('Universe Note', 1)]",6545,80.35,-37.819873,144.9850654,15,5269.6,Autumn,True,1.3717,great midpriced phone nice phone. works well.,1.0
ORD413932,ID2481930756,2019-08-21,Bakers,"[('pearTV', 2), ('Toshika 750', 2), ('Candle Inferno', 1)]",6535,80.5,-37.81185120000001,145.00899740000003,10,19601.5,Winter,True,1.2281,great phone exactly as listed great phone exactly as listed,1.0
ORD330788,ID0938091425,2019-02-24,Bakers,"[('Lucent 330S', 1), ('Olivia x460', 1), ('Thunder line', 1), ('iAssist Line', 2)]",13585,58.48,-37.810509100000004,144.9834574,25,6872.23,Summer,False,1.0371,que no estoy conforme no es lo que esperaba tiene un cargador de iphon😡 muy decepcionada,0.0
ORD004460,ID0370285600,2019-06-25,Thompson,"[('Thunder line', 2), ('Olivia x460', 2), ('pearTV', 1)]",22160,79.29,-37.81549570000001,144.95773190000003,25,9919.29,Winter,True,0.9890000000000001,five stars fits good and comfortable,1.0
ORD208965,ID0767664999,2019-04-19,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 2)]",8940,79.27,-37.8080452,144.97335880000003,10,17296.27,Autumn,True,1.2212,"phone is in excellent condition and everything works really good phone is in excellent condition and everything works really good. battery doesn't last long , probably will have to replace it in future. came with a non original charger. other than that excellent phone",1.0
ORD134780,ID0767723739,2019-08-02,Nickolson,"[('Universe Note', 2), ('Candle Inferno', 2), ('Thunder line', 2)]",2610,70.21,-37.805070799999996,144.97234219999999,0,12190.21,Winter,False,1.5254,"great for what it is genuine olivia item. i reached out to olivia directly to verify. this model of phone isn’t the glitziest, but covers everything i need. was replacing an older version of the exact same phone.",1.0
ORD474385,ID0709974145,2019-03-18,Thompson,"[('Toshika 750', 1), ('Thunder line', 2), ('Alcon 10', 2), ('Candle Inferno', 2)]",12720,64.03,-37.815505,144.9354882,25,20644.03,Autumn,True,1.0661,the olivia note 3 was advertised as new. i ... the olivia note 3 was advertised as new. i received a used olivia note 3 phone. in a torn at&t box.,0.0
ORD174513,ID6167417935,2019-12-21,Nickolson,"[('iAssist Line', 2), ('Alcon 10', 2), ('Thunder line', 2)]",10735,94.72,-37.8148987,144.9604959,0,26804.72,Summer,True,0.8963,"great condition! i ordered an 8 plus and received an 8 plus. very happy with it. came in great condition, looks like new. had my new otter box cover for an 8 plus ready. verizon took care of changing it over and all the details. spry delivered as advertised. missie",1.0
ORD102677,ID0579478356,2019-06-11,Thompson,"[('iAssist Line', 1), ('Toshika 750', 1)]",20650,67.4,-37.8204111,144.95337419999996,15,5630.65,Winter,False,1.0244,"looks great, works great. thanks! looks great, works great. thanks!",1.0
ORD308529,ID0312718913,2019-11-11,Thompson,"[('Candle Inferno', 1), ('Universe Note', 2)]",7170,70.78,-37.8015251,144.9616621,10,6667.78,Spring,False,1.7853,don't buy doesn't work period,0.0
ORD216991,ID1492410149,2019-01-02,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2), ('Olivia x460', 1)]",24510,81.08,-37.8046039,144.9631487,5,6289.33,Summer,False,1.6561,"i think it is good enough almost like a new one, my young sister love it very much, thanks",1.0
ORD263369,ID0730515682,2019-10-02,Thompson,"[('Thunder line', 1), ('Olivia x460', 1), ('Alcon 10', 1), ('Lucent 330S', 1)]",11130,80.88,-37.8238926,144.9490621,15,11628.13,Spring,False,1.2612,s7 edge seems to work very good and in great condition,1.0
ORD074620,ID1449308608,2019-04-28,Bakers,"[('iStream', 2), ('Lucent 330S', 1), ('Thunder line', 1), ('Universe Note', 2)]",9420,80.14,-37.8169311,144.9881284,25,8037.64,Autumn,True,0.9931,"deep scratch in screen. i got this phone today, overall i was so excited upon opening it. i flipped it over, took off the screen plastic. to reveal a deep scratch in the center of the screen. bummed! every other part of the phone is cosmetically great!",1.0
ORD066725,ID2481930673,2019-01-10,Bakers,"[('Toshika 750', 2), ('iStream', 2)]",12400,92.83,-37.810453100000004,145.0037593,0,9032.83,Summer,True,0.7517,five stars large screen is super crisp and phone is just amazing. love toshika products.,1.0
ORD168089,ID0635499738,2019-07-10,Thompson,"[('Lucent 330S', 2), ('iStream', 1)]",12320,76.73,-37.81510770000001,144.9404206,15,2295.23,Winter,True,0.6444,would buy again perfect condition,1.0
ORD242252,ID0575434357,2019-07-25,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 2), ('Universe Note', 1)]",13090,79.56,-37.8210659,144.9843399,25,10984.56,Winter,True,1.3292,"it's no ipad, but it's great for istream and some app games. i'm not worried about the kids getting their paws on it since it's relatively inexpensive.",1.0
ORD421260,ID0575396015,2019-11-04,Nickolson,"[('Olivia x460', 2), ('Lucent 330S', 2), ('Thunder line', 2), ('Universe Note', 1)]",12960,104.73,-37.8210743,144.9830055,10,,Spring,True,1.2149,"amazing all, very good",1.0
ORD442528,ID1459448710,2019-02-26,Bakers,"[('Toshika 750', 1), ('pearTV', 1)]",4750,80.13,-37.819384,145.00835969999997,10,9647.13,Summer,False,1.5572,"my favorite smart phone my favorite smart phone. a little slow, and the microphones are crap, but works great for use in austere and rough environments. never came cles to cracking the screen, and i have dropped it in water several times without any real issues.",1.0
