order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD161261,ID4283908894,2019-01-25,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 1), ('Toshika 750', 2), ('Universe Note', 1)]",16765,93.79,-37.8125122,144.974308,25,12667.54,Summer,True,0.7959,"over all good condition, over all good condition,,,,,,,,,,must have been in a case much of its life due to being relatively free of scratches. runs well for am older phone and can hold its own to many newer phones costing much more money.. very happy with it so far....well see how it goes.",True
ORD410680,ID0621539577,2019-12-12,Nickolson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Universe Note', 2)]",12080,95.24,-37.814132799999996,144.9596799,0,12175.24,Summer,True,1.0001,good solid phone works fine and daughter was very happy with it - it was a step up for her - for now...,True
ORD493874,ID0227770421,2019-02-14,Bakers,"[('Alcon 10', 1), ('Toshika 750', 2), ('iAssist Line', 1)]",19815,101.09,-37.7990396,144.9850633,0,19916.09,Summer,True,1.5124,"five stars awesome phone, awesome power and a excellent camera.",True
ORD196939,ID0846571215,2019-01-14,Nickolson,"[('Universe Note', 2), ('Lucent 330S', 1)]",8130,86.72,-37.8180524,144.96929680000005,5,7810.22,Summer,True,0.0644,"exactly what i wanted i am not a texter so this phone is perfect. flat, easily fits pockets and all menus are and controls are clearly understandable.",True
ORD003228,ID2277912706,2019-02-08,Thompson,"[('pearTV', 2), ('Universe Note', 2), ('iStream', 2), ('Toshika 750', 2)]",28460,97.22,-37.8236199,144.94296210000005,5,27134.22,Summer,True,1.2709,"too old but, nice condtion nice basic phone. it is just a little too out dated. reception is a little poor but if that is the phone you want it was in good condition.",True
ORD020715,ID5776644660,2019-12-14,Bakers,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Toshika 750', 1), ('Alcon 10', 2)]",25530,96.11,-37.8007475,145.0034602,5,24349.61,Summer,True,1.2584,"it is a great phone it is a great phone but has to many fetures to go thur to get where you want to go,i may need training lol but it is a lil more than my alcon but i do like it.",True
ORD386263,ID1327098185,2019-02-02,Nickolson,"[('Olivia x460', 2), ('pearTV', 1)]",8760,91.9,-37.814254999999996,144.9657798,15,7537.9,Summer,True,0.586,love it. i play music everyday and voice  activated makes it so easy,True
ORD094698,ID0711331434,2019-01-12,Thompson,"[('iAssist Line', 1), ('Candle Inferno', 1), ('Lucent 330S', 1)]",3885,95.31,-37.807266,144.9574618,5,3786.06,Summer,True,1.0944,working good so far.,True
ORD411355,ID2353534938,2019-01-06,Thompson,"[('Lucent 330S', 1), ('Thunder line', 1), ('iStream', 2)]",3710,104.23,-37.7999398,144.96319580000005,10,3443.23,Summer,True,2.0052,"five stars excellent, i love with my new phone",True
ORD383130,ID4061053457,2019-12-10,Bakers,"[('Alcon 10', 1), ('Toshika 750', 1), ('Lucent 330S', 1)]",14500,87.27,-37.809787299999996,144.992844,10,13137.27,Summer,True,0.2113,thanks i love my ohone and i am getting a case for it but i didnt get my free gift,True
ORD390669,ID0777829884,2019-12-24,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 2), ('Universe Note', 2)]",11810,99.41,-37.8029722,144.95799119999995,0,11909.41,Summer,True,1.4453,great phone i am very much impressed by this product but also by the company that sold it to me recieved phone as told had a problem with one of these products was given a new product in a timely fashion all is well kudos to all,True
ORD153490,ID2759826603,2019-01-04,Nickolson,"[('pearTV', 2), ('Universe Note', 2), ('Thunder line', 2)]",23880,94.63,-37.8112054,144.9619207,10,21586.63,Summer,True,1.0616,"freaking awesome amazing! nothing but good reviews here. love it, it does everything i expected it to do.my life rite here....my precious.",True
ORD084331,ID5448707281,2019-01-17,Thompson,"[('pearTV', 1), ('Olivia x460', 2), ('Lucent 330S', 1)]",9990,98.95,-37.8217305,144.9367444,0,10088.95,Summer,True,1.3568,"it works 4 me! the fingerprint reader? you have to put your finger on a couple times before it opens. battery life? it is not as long as i hoped it would be, but it is a refurbished phone, so, i take what i can get. i got it for a 3rd, of a new one",True
ORD336299,ID4909776703,2019-02-16,Bakers,"[('Thunder line', 1), ('pearTV', 2)]",14800,99.64,-37.823333500000004,144.99988090000005,25,11199.64,Summer,True,1.5399,works great.,True
ORD161616,ID0370470105,2019-12-02,Bakers,"[('Thunder line', 2), ('iAssist Line', 1), ('Toshika 750', 2), ('Alcon 10', 1)]",24175,100.24,-37.8169967,145.0109605,5,23066.49,Summer,True,1.5876,"arrived dirty, but works perfectly. i purchased used for my wife. the phone was abut dirty and didn't come with original packaging, but works great. the hardware and weatherproofing put alcon to shame. the strogest aspect to this phone is the price, and the power and functionality.",True
ORD438287,ID0577522769,2019-02-26,Nickolson,"[('Olivia x460', 1), ('Thunder line', 1), ('Universe Note', 1)]",6855,91.52,-37.8238866,144.97392230000003,25,5232.77,Summer,True,0.7034,"we bought this tablet for our 4 year old to play games and watch istream. he loves it and at this price point, we're not overly concerned if he damages it. we bought a nice foam case that keeps it well protected. we're highly satisfied.",True
ORD332987,ID0767729196,2019-12-27,Thompson,"[('iStream', 2), ('pearTV', 1), ('Candle Inferno', 2), ('Olivia x460', 2)]",9920,88.46,-37.8090031,144.9449882,15,8520.46,Summer,True,0.4477,"excellent phone, great deal excellent condition, no scratches, looks brand new. battery at 100% health/maximum capacity.",True
ORD307410,ID1224869102,2019-12-03,Thompson,"[('iAssist Line', 1), ('Thunder line', 2), ('Lucent 330S', 1)]",7815,88.86,-37.8135309,144.94083469999995,0,7903.86,Summer,True,0.5565,five stars best phone in the world.,True
ORD190323,ID1463547089,2019-02-19,Bakers,"[('Lucent 330S', 1), ('iStream', 1), ('Thunder line', 2)]",5740,99.24,-37.8192904,145.0056706,15,4978.24,Summer,True,1.3831,xp due to the smooth texture of the phone i recommend purchasing a phone case with this phone. before i didn't have this phone in a case and it fell several times on hard surfaces and did not shatter. xp has once again proven that they make durable phones that will last.,True
ORD416466,ID0054552187,2019-12-04,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 1)]",4880,99.47,-37.8197522,144.98503190000002,0,4979.47,Summer,True,1.3674,"turned out great! was very nervous to buy this phone, but couldnt be happier! 100% battery, looks like a new phone",True
ORD433462,ID4716795418,2019-01-22,Thompson,"[('Olivia x460', 2), ('Thunder line', 2)]",6810,94.51,-37.8187871,144.95341340000004,15,5883.01,Summer,True,0.88,great product and works great,True
ORD116106,ID2006038538,2019-02-02,Bakers,"[('Thunder line', 2), ('iStream', 2), ('Alcon 10', 2)]",22560,96.65,-37.801299,145.0011591,0,22656.65,Summer,True,1.0996,"graet phone its excellent. i just had some problems with the wifi configuration, but i fixed it.",True
ORD499373,ID0638044335,2019-01-19,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1)]",5180,98.33,-37.8133487,144.9312518,15,4501.33,Summer,True,1.393,five stars good stuff,True
ORD393586,ID0588197315,2019-12-10,Nickolson,"[('Lucent 330S', 2), ('Alcon 10', 2), ('pearTV', 1), ('Universe Note', 2)]",33570,94.8,-37.8120706,144.9739636,0,33664.8,Summer,True,0.8234,"what a treat! well, everything nice was already said about how awesome and totally rocking this phone is. i can only add that i can't believe how i survived without it and lived with blackberry all these years. i am in love!",True
ORD337631,ID5402876527,2019-12-16,Nickolson,"[('Toshika 750', 1), ('Universe Note', 2), ('Olivia x460', 2), ('iAssist Line', 2)]",18120,90.41,-37.8209583,144.97668000000004,5,17304.41,Summer,True,0.6798,"after we learned to use this (we are still learning), we are very pleased with thunder plus",True
ORD134658,ID0775946111,2019-01-22,Thompson,"[('Thunder line', 2), ('Olivia x460', 2)]",6810,100.42,-37.8058626,144.95932040000002,25,5207.92,Summer,True,1.3175,excellent muy buena compra,True
ORD049004,ID0774529205,2019-01-18,Thompson,"[('Universe Note', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",15970,98.09,-37.8062378,144.95930259999997,10,14471.09,Summer,True,1.2926,"fine for reading, ...haven't used it for anything else yet",True
ORD161865,ID3171517022,2019-01-30,Thompson,"[('Olivia x460', 2), ('Toshika 750', 2)]",11090,99.81,-37.803848200000004,144.96143490000003,15,9526.31,Summer,True,1.6004,used way better than new this is a used s7 so what is there to dry other than it works great. if you buy a used phone name sure you can get a new sim card if your network provider requires one such as sprint,True
ORD305510,ID0617564712,2019-01-04,Nickolson,"[('Alcon 10', 1), ('Thunder line', 2), ('iAssist Line', 2), ('Universe Note', 1)]",21210,88.96,-37.820752899999995,144.96683269999997,10,19177.96,Summer,True,0.3389,"five stars great, speedy service",True
ORD364461,ID4927643642,2019-01-08,Thompson,"[('iAssist Line', 1), ('iStream', 1), ('Olivia x460', 2), ('Universe Note', 2)]",11725,99.02,-37.805668299999994,144.93336509999997,10,10651.52,Summer,True,1.4355,"great mid range phone great mid range phone. easy set up, and simple to use. coming from ios it makes the transition easy by being very close to stock android.",True
ORD392810,ID0575374770,2019-01-23,Nickolson,"[('Toshika 750', 2), ('iStream', 1)]",8790,97.96,-37.8195848,144.9842554,15,7569.46,Summer,True,1.2977,frustrating os is great. the device itself keeps shutting down. once it shuts down will not come back on. had to replace the device twice.,True
ORD218688,ID0260906785,2019-02-17,Bakers,"[('Thunder line', 2), ('Universe Note', 1), ('iStream', 1)]",7960,105.89,-37.823312200000004,145.011886,15,6871.89,Summer,True,2.0838,five stars very satisfied about this phone,True
ORD293247,ID1492169340,2019-02-11,Thompson,"[('Alcon 10', 1), ('Lucent 330S', 1)]",10180,103.99,-37.801810700000004,144.96364230000003,5,9774.99,Summer,True,1.8939,i bought this item for one of my interns and she loved it.,True
ORD040446,ID6167191689,2019-02-16,Thompson,"[('iStream', 1), ('Thunder line', 2), ('Universe Note', 1)]",7960,94.06,-37.8191792,144.95401850000005,10,7258.06,Summer,True,0.9476,"step a side pear and universe. this phone is flawless, looks great and performs in the 800.00 range. just read european reviews as it's not sold directly to us market.",True
ORD283618,ID6167191724,2019-12-13,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 2)]",2085,92.15,-37.81745460000001,144.9601718,0,2177.15,Summer,True,0.8345,awesome excelente,True
ORD113187,ID0257506016,2019-01-24,Thompson,"[('iStream', 2), ('Lucent 330S', 2)]",2760,105.23,-37.7991145,144.9632575,25,2175.23,Summer,True,2.0749,amazing absolutely love this phone. works good for straight talk.,True
ORD206746,ID0129952494,2019-12-14,Bakers,"[('Thunder line', 1), ('Olivia x460', 1)]",3405,88.92,-37.8073234,144.9975737,10,3153.42,Summer,True,0.3618,"five stars buyer recommended, cell phone in perfect condition",True
ORD436661,ID3924911399,2019-01-10,Nickolson,"[('iAssist Line', 2), ('Toshika 750', 1), ('Lucent 330S', 2)]",11230,94.48,-37.812587,144.965275,0,11324.48,Summer,True,0.7673,easy to follow directions allowed her to set it up with me watching over her shoulder.,True
ORD125340,ID1982439994,2019-01-20,Bakers,"[('Olivia x460', 2), ('iStream', 1), ('Alcon 10', 1)]",11550,97.11,-37.814294399999994,145.0062345,10,10492.11,Summer,True,1.0794,"universe note 8 note 8 flawless! it looked brand new... no scratches or damage! works like a charm! i will purchase from this seller again as well as recommend their business. also, seller was super nice and professional! thanks!",True
ORD130459,ID0128882462,2019-02-01,Bakers,"[('Universe Note', 2), ('Lucent 330S', 1)]",8130,97.61,-37.8014087,145.0020552,10,7414.61,Summer,True,1.1287,afterall its a xp switched from alcon 6s. best phone ever. 1) good built 2) good battery life 3) great os. pure android & no tweaks. buy it without hesitation.,True
ORD347410,ID0846569744,2019-02-16,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1), ('iStream', 2)]",3710,88.34,-37.821433,144.96920830000005,10,3427.34,Summer,True,0.3174,great phone for the price. my mom is happy. awesome! i only wish that the ring was a bit louder.,True
ORD126238,ID4283908160,2019-02-14,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('Candle Inferno', 1), ('pearTV', 2)]",16730,96.94,-37.8104908,144.9754623,10,15153.94,Summer,True,1.0412,phone :),True
ORD135870,ID0363406538,2019-12-08,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Universe Note', 2), ('Thunder line', 2)]",14580,104.97,-37.7997929,144.96366930000005,15,12497.97,Summer,True,2.0463,"great product ! it checks all of the boxes, plus some. if you want a powerful, long-lasting phone at a reasonable price, then this is the one for you. it is highly recommended. it was delivered promptly and in good condition.",True
ORD276290,ID0534017209,2019-01-03,Bakers,"[('iAssist Line', 2), ('iStream', 2), ('Toshika 750', 1), ('Olivia x460', 1)]",10295,90.34,-37.8097134,144.9879612,10,9355.84,Summer,True,0.6402,will buy from seller again really great quality!!!,True
ORD153859,ID4353937735,2019-12-04,Bakers,"[('Candle Inferno', 2), ('Universe Note', 2), ('Alcon 10', 2), ('Olivia x460', 1)]",26885,107.66,-37.825016,145.0119305,5,25648.41,Summer,True,2.2252,four stars good to go,True
ORD178196,ID0575518666,2019-12-24,Nickolson,"[('Universe Note', 1), ('Olivia x460', 2), ('iStream', 2)]",6200,97.29,-37.82132360000001,144.9833803,0,6297.29,Summer,True,1.2534,"superb operates well, has really good battery life and charges fairly quickly, and you are able to change a lot of the settings to match your preferences which is nice for. those picky people out there in the world.",True
ORD385573,ID1093410235,2019-01-27,Bakers,"[('Olivia x460', 2), ('iStream', 2), ('pearTV', 1)]",9060,98.69,-37.80821810000001,145.00962880000003,0,9158.69,Summer,True,1.2815,fun to work with still learning everything she can do,True
ORD309264,ID0297178812,2019-01-01,Thompson,"[('Alcon 10', 2), ('Toshika 750', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",29130,75.86,-37.8219348,144.95429819999995,15,24836.36,Summer,False,1.2112,"five stars nice, perfectly operating phone for good price. thanks!",True
ORD114927,ID0244255898,2019-02-23,Nickolson,"[('Universe Note', 1), ('pearTV', 2), ('Lucent 330S', 2), ('Thunder line', 2)]",22890,73.53,-37.8169046,144.9780254,15,19530.03,Summer,False,0.7686,five stars beautiful and excellent phone! thanks,True
ORD374296,ID3194806130,2019-01-17,Thompson,"[('Candle Inferno', 1), ('Thunder line', 1), ('Universe Note', 1), ('iStream', 2)]",6360,71.29,-37.8080956,144.9519139,5,6113.29,Summer,False,0.6642,"better than expected bought for 13 year old, he really likes it. battery life is much better than expected. had 50% battery left after 10 hours at dollywood.",True
ORD355595,ID4419686625,2019-02-18,Thompson,"[('Thunder line', 2), ('iStream', 2), ('Lucent 330S', 1)]",5890,83.32,-37.801652600000004,144.9632253,0,5973.32,Summer,False,1.8773,"after half an year.... all good with this phone 10+++ i am very pleased, and its my second phone from this user.",True
ORD196271,ID0287629353,2019-12-14,Thompson,"[('Thunder line', 2), ('Universe Note', 2), ('pearTV', 2), ('Lucent 330S', 1)]",25110,74.95,-37.80408660000001,144.9508656,10,22673.95,Summer,False,1.0125,ok i did like the product very much thank you for ok,True
ORD350647,ID2384091393,2019-12-12,Nickolson,"[('Olivia x460', 2), ('Candle Inferno', 2), ('Toshika 750', 1)]",7630,68.38,-37.8177973,144.9658647,5,7316.88,Summer,False,0.3361,perfect nice to know i can still access one of the best note phones.,True
ORD191784,ID0576838466,2019-12-23,Bakers,"[('Thunder line', 2), ('Alcon 10', 2), ('pearTV', 1), ('Olivia x460', 2)]",31020,76.16,-37.8178183,144.9887553,10,27994.16,Summer,False,1.0405,i love iassist!  i am surprised how much i use her.,True
ORD064405,ID0591431033,2019-12-15,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 1), ('Thunder line', 1)]",8950,65.46,-37.8178838,144.9678476,25,6777.96,Summer,False,0.1694,great in the hands of a diesel technician. loving the turbo 2 after a week of use. definitely recommend getting a tempered glass protector to get the true glass screen feel. highly recommend this phone.,True
ORD119535,ID0775945816,2019-12-04,Nickolson,"[('pearTV', 2), ('Universe Note', 1)]",16070,79.53,-37.80668970000001,144.9624533,10,14542.53,Summer,False,1.4649,not bad! works well and looks good too! didn’t have any scratches! so far so good!,True
ORD253970,ID4787373515,2019-01-02,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('Olivia x460', 1)]",10725,81.95,-37.799787,144.95796140000004,25,8125.7,Summer,False,1.7249,perfect the pinnacle of phones.,True
ORD067745,ID0579490423,2019-12-31,Thompson,"[('Toshika 750', 2), ('Olivia x460', 1), ('iAssist Line', 1)]",12090,71.16,-37.816581799999994,144.951168,15,10347.66,Summer,False,0.565,five stars i don't have to much to said excellent very good,True
ORD413422,ID4307007286,2019-01-18,Bakers,"[('iAssist Line', 1), ('Alcon 10', 1), ('Olivia x460', 1)]",12400,86.95,-37.7907967,144.985865,15,10626.95,Summer,False,2.2905,nice and affordable for the budget. not a bad phone. easy to use amd affordable.,True
ORD085100,ID0356097943,2019-12-01,Bakers,"[('iStream', 1), ('Alcon 10', 2), ('Lucent 330S', 1), ('Thunder line', 2)]",23640,75.62,-37.819823,144.9900792,5,22533.62,Summer,False,1.1840000000000002,"great phone this phone is amazing. everything about it, cameras, battery life, screen...",True
ORD371881,ID2353534945,2019-02-14,Thompson,"[('Candle Inferno', 2), ('iStream', 1)]",1010,83.72,-37.7999805,144.9630199,0,1093.72,Summer,False,1.9911,would recommend really good phone for the price. 👍,True
ORD386296,ID0298046599,2019-02-22,Nickolson,"[('Thunder line', 1), ('Lucent 330S', 2), ('Candle Inferno', 1)]",5070,68.22,-37.8208075,144.9666369,10,4631.22,Summer,False,0.3554,"the sound is fantastic for the classic  music. is like you have the orchestra at your home. and you can control the sound with out screamig at it you just have to twist the top, but also you can tell  &#34;iassist volume 3&#34;",True
ORD020994,ID1899315620,2019-02-14,Thompson,"[('Thunder line', 1), ('pearTV', 2)]",14800,77.5,-37.82339,144.94794,15,12657.5,Summer,False,1.1954,awesome phone holding up great like it was brand new. i'll only by refurbished phones here on out.,True
ORD070739,ID3144992681,2019-02-09,Bakers,"[('iAssist Line', 2), ('Alcon 10', 1), ('Toshika 750', 2), ('iStream', 1)]",22190,76.39,-37.8146281,144.9834564,0,22266.39,Summer,False,1.1568,great buy! fast delivery and arrived in perfect shape. two differences between this and a new alcon... the cost! and the word refurbished. update... have now bought 3 of them and all were and still are perfect.,True
ORD467051,ID0319157074,2019-12-02,Nickolson,"[('iAssist Line', 2), ('Candle Inferno', 2), ('pearTV', 2), ('iStream', 1)]",18080,77.81,-37.8078201,144.96573899999999,25,13637.81,Summer,False,1.2454,love this phone i've had for 2 months now and it works great! thank you,True
ORD270247,ID5402876192,2019-12-17,Nickolson,"[('pearTV', 2), ('iStream', 2)]",12920,71.91,-37.8204535,144.9769006,10,11699.91,Summer,False,0.6786,they get lots of fun google extras that are for now proprietary to the pixel and google phones i think google's purchase of htc allowed them to create well-crafted phones. the phone has beautifully designed curves and the fingerprint button in the back is just a phenomenal thing.,True
ORD247975,ID0370750991,2019-12-25,Bakers,"[('Thunder line', 1), ('iAssist Line', 1)]",4405,70.91,-37.812205299999995,144.9884496,0,4475.91,Summer,False,0.6452,screen cracked on a cold day that sucks!! wish olivia would cover repairs teenage son still likes it. screen cracked on a cold day that sucks!! wish olivia would cover repairs. 0 degrees out and the screen just snapped.,True
ORD230780,ID0588197148,2019-01-13,Nickolson,"[('pearTV', 2), ('iAssist Line', 1)]",14845,71.19,-37.8120939,144.9738315,10,13431.69,Summer,False,0.8157,"best phone so far that i have great battery, last whole day without any problem for a heavier user! face recognition is fast, no need the fingerprint. google softwares work fine. camera is awesome!",True
ORD387848,ID6167357845,2019-12-14,Nickolson,"[('Toshika 750', 2), ('Thunder line', 1), ('iAssist Line', 2)]",15270,77.3,-37.807361900000004,144.97061069999995,15,13056.8,Summer,False,1.2539,"i bought this for my wife because she plays a lot of games along with my grandson, this is perfect to download all the games they want without taking up space on her ipad.",True
ORD435337,ID1458418018,2019-12-08,Bakers,"[('pearTV', 2), ('iAssist Line', 2)]",17070,84.08,-37.8198341,145.01085559999999,25,12886.58,Summer,False,1.757,works like a charm...,True
ORD462282,ID0575533900,2019-01-19,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 2), ('iStream', 1), ('Candle Inferno', 2)]",20135,77.38,-37.8226242,144.9825669,25,15178.63,Summer,False,1.2293,"simple to use, worked well right out the box after charging i am new to this type of phone so i have nothing to compare it to. camera seems good. everything seems easy to use.",True
ORD001856,ID1217532913,2019-01-16,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('iAssist Line', 1), ('iStream', 2)]",6205,71.15,-37.818374299999995,144.94864280000004,25,4724.9,Summer,False,0.6495,got a great deal on black friday. this is the best affordable tablet for under 100. was able to get advertisements off from digico and installed playstore. wife bought a cheaper cover for this tablet. love the digico environment. want to buy another one if they come down in price again!,True
ORD413360,ID1492416092,2019-02-18,Thompson,"[('Lucent 330S', 1), ('Olivia x460', 2), ('Candle Inferno', 2)]",4540,79.74,-37.8020189,144.95721709999995,25,3484.74,Summer,False,1.4843,great sound this phone is good for my mother she likes it so i’m happy for her,True
